digits,section,division,group,class,item,desc_en,exclude_en,include_en,desc_bm,exclude_bm,include_bm
5,G,47,471,4719,47199,Other retail sale in non-specialized stores n.e.c.,,,Jualan runcit lain di kedai tanpa pengkhususan t.t.t.l.,,
5,G,47,472,4721,47211,"Retail sale of rice, flour, other grains and sugars",,,"Jualan runcit beras, tepung, bijirin lain dan gula",,
5,G,47,472,4721,47212,Retail sale of fresh or preserved vegetables and fruits,,"retail sale of coconut milk, onions, potatoes and chillies, etc",Jualan runcit sayur-sayuran dan buah-buahan segar atau diawet(2),,
5,G,47,472,4721,47213,Retail sale of dairy products and eggs,,,Jualan runcit produk tenusu dan telur,,
5,G,47,472,4721,47214,Retail sale of meat and meat products (including poultry),,,Jualan runcit daging dan produk daging (unggas,,
5,G,47,472,4721,47215,"Retail sale of fish, other seafood and products thereof",,,Jualan runcit ikan dan makanan laut lain dan lain-lain produk yang berkaitan,,
5,G,47,472,4721,47216,Retail sale of bakery products and sugar confectionery,,,Jualan runcit produk bakeri dan konfeksi,,
5,G,47,472,4721,47217,"Retail sale of mee, kuey teow, mee hoon, wantan skins and other food products made from flour or soya",,,"Jualan runcit mi, kueh teow, mihun, kulit wantan dan produk makanan lain yang dihasilkan daripada tepung atau soya",,
5,G,47,472,4721,47219,Retail sale of other food products n.e.c.,,,Jualan runcit produk makanan lain t.t.t.l.,,
5,G,47,472,4722,47221,"Retail sale of beer, wine and spirits",,,"Jualan runcit bir, wain dan spirit",,
5,G,47,472,4722,47222,"Retail sale of tea, coffee, soft drinks, mineral water and other beverages",,,"Jualan runcit teh, kopi, minuman ringan, air mineral dan minuman lain",,
5,G,47,472,4723,47230,Retail sale of tobacco products in specialized store,,"retail sale of cigars, cigarettes",Jualan runcit produk tembakau di kedai khusus (3),,
5,G,47,473,4730,47300,Retail sale of automotive fuel in specialized store,"wholesale of fuels, see 4661. retail sale of fuel in combination with food, beverages, etc., with food and beverage sales dominating, see 4711. retail sale of liquefied petroleum gas for cooking or heating, see 47736",retail sale of lubricating products and cooling products for motor vehicles,Jualan runcit bahan api kenderaan di kedai khusus (2),,
5,G,47,474,4741,47411,"Retail sale of computers, computer equipment and supplies",,retail sale of printer and scanner,"Jualan runcit komputer, peralatan dan kelengkapan komputer(2)",,
5,G,47,474,4741,47412,Retail sale of video game consoles and non-customized software,,retail sale of video games,Jualan runcit konsol permainan video dan sofwer bukan ditempah khas(3),,
5,G,47,474,4741,47413,Retail sale of telecommunication equipment,,,Jualan runcit peralatan telekomunikasi,,
5,G,47,474,4742,47420,Retail sale of audio and video equipment in specialized store,,retail sale of radio and television equipment,Jualan runcit peralatan audio dan video di kedai pengkhususan (4),,
5,G,47,475,4751,47510,Retail sale of textiles in specialized stores,"retail sale of clothing, see 4771","retail of fabrics, knitting yarn, tapestry or embroidery making, haberdashery",Jualan runcit di kedai khusus yang menjual tekstil (2),,
5,G,47,475,4752,47520,"Retail sale of construction materials, hardware, paints and glass",,retail sale of do-it-yourself materials and equipment,"Jualan runcit bahan binaan , hardwer, cat dan kaca (3)",,
5,G,47,475,4753,47531,Retail sale of carpets and rugs,,retails sale of basic material for rug,Jualan runcit karpet dan hamparan(5),,
5,G,47,475,4753,47532,Retail sale of curtains and net curtains,,,Jualan runcit langsir dan net,,
5,G,47,475,4753,47533,Retail sale of wallpaper and floor coverings,,,Jualan runcit kertas dinding dan alas lantai,,
5,G,47,475,4759,47591,Retail sale of household furniture,,,Jualan runcit perabot isi rumah,,
5,G,47,475,4759,47592,Retail sale of articles for lighting,,,Jualan runcit peralatan lampu,,
5,G,47,475,4759,47593,"Retail sale of household utensils and cutlery, crockery, glassware, chinaware and pottery",,,"Jualan runcit perkakas isi rumah, perkakas dapur dan kutleri, pinggan mangkuk, barangan kaca dan barangan tembikar",,
5,G,47,475,4759,47594,"Retail sale of wood, cork goods and wickerwork goods",,,"Jualan runcit kayu, barangan gabus dan barangan anyaman rotan",,
5,G,47,475,4759,47595,Retail sale of household appliances,,,Jualan runcit perkakas isi rumah,,
5,G,47,475,4759,47596,Retail sale of musical instruments and scores,,,Jualan runcit peralatan muzik dan skor,,
5,G,47,475,4759,47597,Retail sale of security systems,,"retail sale of locking devices, safes and vaults, without installation or maintenance services",Jualan runcit sistem keselamatan (2),,
5,G,47,475,4759,47598,Retail sale of household articles and equipment n.e.c.,,,Jualan runcit barangan dan peralatan isi rumah t.t.t.l,,
5,G,47,476,4761,47611,Retail sale of office supplies and equipment,"retail sale of second-hand or antique books, see 4774",,Jualan runcit bekalan dan peralatan pejabat,,
5,G,47,476,4761,47612,"Retail sale of books, newspapers and stationary","retail sale of second-hand or antique books, see 4774",,"Jualan runcit buku, surat khabar dan alat tulis",,
5,G,47,476,4762,47620,"Retail sale of musical records, audio tapes, compact discs , cassettes, video tapes, VCDs and DVDs, blank tapes and discs",,,"Jualan runcit rekod muzik, pita audio, cakera padat, kaset, pita video, VCD dan DVD, pita dan cakera kosong",,
5,G,47,476,4763,47631,Retail sale of sports goods and equipments,,,Jualan runcit barangan dan peralatan sukan,,
5,G,47,476,4763,47632,Retail sale of fishing equipment,,,Jualan runcit peralatan memancing,,
5,G,47,476,4763,47633,Retail sale of camping goods,,,Jualan runcit barangan perkhemahan,,
5,G,47,476,4763,47634,Retail sale of boats and equipments,,,Jualan runcit bot dan peralatannya,,
